contribution_consistency,repayment_punctuality,default_history,attendance_score,savings_stability,loan_to_savings_ratio,average_overdue_days,current_unpaid_loans,defaulted
0.65,0.55,0.87,0.33,0.61,2.16,69,6,0
0.5,0.62,0.59,0.26,0.48,1.29,28,2,1
0.76,0.96,0.57,0.64,0.74,2.34,89,0,1
0.52,0.31,0.25,0.81,0.77,2.69,58,5,1
0.67,0.98,0.06,0.72,0.59,1.87,73,3,1
0.82,0.35,0.27,0.57,0.34,2.48,88,0,0
0.64,0.37,0.17,0.47,0.42,2.42,77,2,0
0.3,0.7,0.58,0.55,0.41,1.23,68,6,1
0.26,0.57,0.87,0.47,0.51,0.35,25,4,1
0.32,0.66,0.41,0.42,0.6,1.61,42,6,1
0.5,0.26,0.3,0.32,0.33,0.61,52,0,0
0.77,0.86,0.82,0.53,0.59,2.93,73,2,1
0.61,0.89,0.03,0.63,0.67,2.35,59,3,0
0.84,0.76,0.78,0.44,0.68,1.06,60,0,0
0.99,0.86,0.52,0.24,0.89,2.02,52,4,0
0.82,0.75,0.11,0.75,0.69,1.56,36,1,0
0.48,0.62,0.08,0.94,0.66,1.93,9,5,1
0.87,0.29,0.56,0.65,0.36,2.07,64,6,1
0.55,0.89,0.55,0.95,0.86,2.47,20,0,1
0.79,0.96,0.78,0.44,0.41,0.7,36,3,1
0.41,0.87,0.75,0.32,0.32,0.49,24,2,0
0.45,0.89,0.26,0.46,0.68,1.92,62,3,1
0.75,0.84,0.42,0.84,0.77,1.17,43,5,0
0.93,0.23,0.83,0.59,0.65,2.18,69,4,0
0.73,0.47,0.39,0.5,0.24,1.29,11,5,1
0.99,0.21,0.5,0.45,0.37,2.76,88,0,1
0.4,0.79,0.69,0.97,0.64,0.98,5,1,1
0.89,0.35,0.77,0.95,0.28,0.77,21,0,0
0.63,0.81,0.75,0.45,0.6,2.91,62,1,1
0.32,0.31,0.61,0.63,0.69,2.27,75,1,1
0.57,0.89,0.32,0.45,0.57,2.79,41,0,0
0.74,0.2,0.05,0.44,0.88,0.69,83,6,0
0.31,0.9,0.76,0.38,0.23,2.79,9,4,0
0.99,0.34,0.43,0.88,0.3,1.1,55,0,0
0.8,0.38,0.7,0.95,0.75,2.31,2,0,1
0.29,0.6,0.4,0.64,0.78,0.89,41,5,0
0.32,0.77,0.36,0.22,0.64,0.93,7,4,0
0.47,0.79,0.83,0.87,0.6,1.59,33,2,1
0.75,0.61,0.7,0.75,0.93,1.75,74,1,0
0.56,0.5,0.18,0.66,0.79,1.46,43,3,1
0.29,0.71,0.09,0.5,0.66,1.06,21,2,1
0.8,0.28,0.18,0.77,0.87,0.7,82,0,1
0.84,0.79,0.84,0.76,0.84,1.17,88,0,0
0.67,0.98,0.17,0.74,0.26,1.01,18,1,0
0.98,0.86,0.59,0.25,0.42,2.94,68,4,0
0.45,0.67,0.23,0.94,0.37,1.17,85,0,0
0.52,0.76,0.8,0.81,0.77,2.58,50,6,0
0.97,0.67,0.51,0.21,0.34,1.55,32,3,1
0.72,0.26,0.79,0.56,0.39,1.89,19,5,1
0.68,0.64,0.53,0.55,0.47,2.3,0,1,1
0.55,0.96,0.16,0.25,0.8,1.96,89,5,1
0.52,0.74,0.76,0.57,0.3,2.73,79,2,1
0.42,0.86,0.7,0.78,0.62,1.93,60,5,0
0.66,0.48,0.62,0.66,0.59,2.36,79,0,1
0.28,0.85,0.19,0.64,0.5,2.24,69,3,0
0.32,0.67,0.4,0.47,0.4,1.51,54,0,0
0.79,0.22,0.46,0.78,0.48,2.72,11,0,0
0.33,0.77,0.31,0.97,0.44,0.39,45,2,0
0.75,0.85,0.03,0.49,0.75,1.74,85,1,0
0.88,0.47,0.84,0.35,0.4,1.29,56,4,0
0.86,0.8,0.61,0.57,0.37,2.86,70,0,0
0.48,0.94,0.03,0.75,0.59,2.68,65,2,0
0.78,0.69,0.24,0.4,0.26,2.47,23,1,1
0.8,0.7,0.86,0.3,0.94,2.54,84,2,1
0.46,0.31,0.31,0.23,0.95,0.52,8,6,1
0.2,0.98,0.52,0.55,0.81,2.92,59,4,0
0.26,0.93,0.69,0.22,0.82,0.52,80,4,1
0.83,0.5,0.28,0.98,0.67,2.4,74,1,0
0.68,0.78,0.36,0.51,0.24,2.2,14,2,0
1.0,0.31,0.59,0.54,0.62,2.43,35,2,0
0.85,0.66,0.72,0.9,0.94,0.82,49,6,0
0.81,0.81,0.43,0.25,0.42,2.99,51,4,0
0.94,0.84,0.63,0.77,0.82,1.39,5,5,0
0.97,0.41,0.3,0.73,0.24,2.25,11,2,1
0.31,0.22,0.62,0.4,0.76,0.59,68,0,1
0.48,0.37,0.45,0.34,0.79,0.95,14,3,0
0.79,0.52,0.77,0.38,0.99,2.75,27,1,1
0.98,0.41,0.11,0.24,0.49,2.61,58,6,0
0.84,0.47,0.15,0.29,0.5,2.46,89,4,1
0.64,0.84,0.75,0.79,0.21,1.7,43,0,1
0.81,0.33,0.29,0.76,0.75,2.76,43,0,1
0.35,0.27,0.72,0.57,0.52,0.35,58,6,1
0.21,0.92,0.85,0.52,0.74,1.95,74,0,0
0.63,0.97,0.21,0.41,0.77,0.99,28,2,0
0.81,0.66,0.84,0.67,0.54,1.14,76,6,1
0.82,0.93,0.54,0.35,0.84,1.92,39,4,0
0.38,0.84,0.7,0.96,0.51,2.61,60,0,1
0.36,0.5,0.01,0.52,0.43,2.73,62,0,0
0.7,0.47,0.05,0.66,0.59,2.52,67,5,0
0.72,0.82,0.23,0.73,0.39,1.75,54,4,0
0.43,0.74,0.12,0.77,0.83,0.69,80,6,1
0.58,0.37,0.1,0.27,0.52,0.37,5,2,1
0.48,0.27,0.54,0.2,0.4,2.02,87,3,1
0.79,0.89,0.65,0.4,0.3,1.67,24,5,1
0.68,0.91,0.08,0.84,0.33,1.37,36,2,0
0.54,0.46,0.87,0.72,0.64,0.94,88,4,0
0.87,0.5,0.82,0.21,0.25,2.25,14,1,1
0.63,0.59,0.41,0.54,0.7,2.78,8,6,0
0.39,0.68,0.4,0.47,0.21,2.47,58,5,1
0.46,0.97,0.52,0.47,0.82,1.61,74,0,0
0.2,0.76,0.27,0.55,0.44,2.45,35,3,1
0.66,0.98,0.2,0.51,0.54,1.89,67,5,0
0.33,0.22,0.11,0.21,0.95,0.33,6,1,1
0.88,0.87,0.21,0.26,0.62,2.22,43,1,0
0.29,0.57,0.74,0.99,0.71,1.61,60,5,0
0.78,0.87,0.17,0.48,0.66,2.77,58,5,0
0.45,0.44,0.3,0.21,0.69,1.88,71,6,1
0.52,0.21,0.65,0.41,0.22,2.64,6,2,0
0.98,0.76,0.3,0.9,0.54,2.79,48,3,0
0.67,0.4,0.7,0.33,0.22,1.79,72,0,0
0.91,0.97,0.1,0.36,0.44,2.86,82,1,1
0.66,0.24,0.27,0.38,0.61,0.66,85,6,1
0.5,0.72,0.05,0.87,0.79,2.24,89,2,0
0.4,0.47,0.59,0.4,0.42,2.86,21,4,1
0.75,0.53,0.08,0.58,0.64,1.26,60,2,1
0.49,0.21,0.78,0.99,0.37,0.86,52,1,1
0.84,0.32,0.08,0.73,0.55,1.55,52,4,0
0.91,0.69,0.72,0.22,0.59,2.29,69,2,0
0.99,0.58,0.21,0.5,0.62,1.6,22,6,1
0.25,0.7,0.38,0.73,0.47,0.34,32,4,0
0.77,0.84,0.49,0.53,0.7,1.96,62,6,0
0.92,0.66,0.49,0.25,0.84,1.8,83,2,0
0.4,0.36,0.25,0.76,0.62,1.3,65,0,1
0.34,0.84,0.72,0.94,0.94,0.57,20,6,1
0.57,0.22,0.33,0.52,0.85,0.4,64,2,1
0.39,0.84,0.47,0.56,0.44,0.38,58,0,0
0.65,0.79,0.36,0.34,0.57,1.94,62,1,1
0.74,0.21,0.49,0.75,0.27,2.64,62,0,0
0.66,0.7,0.37,0.4,0.6,1.65,49,2,0
0.57,0.69,0.66,0.32,0.26,0.82,55,5,0
0.99,0.32,0.25,0.78,0.7,0.71,58,2,0
0.56,0.3,0.83,0.98,0.79,2.96,87,2,0
0.7,0.59,0.72,0.66,0.5,0.61,77,0,0
0.62,0.64,0.88,0.63,0.2,0.44,69,4,1
0.63,0.43,0.56,0.75,0.46,2.78,86,3,1
0.55,0.56,0.52,0.3,0.36,2.95,29,0,1
0.85,0.38,0.15,0.77,0.31,1.82,54,6,0
0.7,0.47,0.64,0.22,0.71,1.24,61,0,0
0.54,0.54,0.11,0.23,0.48,1.68,68,6,0
0.28,0.25,0.79,0.71,0.61,2.29,61,1,1
0.77,0.55,0.35,0.83,0.56,2.32,19,1,0
0.37,0.74,0.33,0.88,0.58,1.87,76,0,0
0.69,0.99,0.85,0.22,0.68,2.14,12,1,0
0.8,0.58,0.63,0.45,0.77,0.8,76,6,0
0.23,0.24,0.79,0.45,0.58,0.73,36,5,0
0.87,0.85,0.35,0.58,0.29,0.52,20,3,0
0.98,0.75,0.65,0.61,0.5,1.45,64,0,0
0.8,0.48,0.04,0.59,0.21,1.07,9,3,1
0.46,0.93,0.54,0.55,0.6,1.64,40,5,1
0.39,0.55,0.88,0.42,0.24,0.63,6,1,0
0.26,0.93,0.16,0.48,0.93,2.11,27,2,0
1.0,0.22,0.04,0.9,0.38,2.0,30,6,0
0.64,0.98,0.2,0.26,0.27,2.64,87,6,1
0.36,0.86,0.59,0.91,0.42,1.39,65,5,0
0.36,0.56,0.42,0.33,0.67,1.11,51,4,0
0.66,0.26,0.4,0.71,0.34,1.41,21,4,0
0.96,0.35,0.57,0.62,0.59,0.67,65,2,1
0.87,0.51,0.43,0.3,0.31,2.76,7,5,0
0.44,0.94,0.88,0.65,0.9,2.01,0,4,1
0.6,0.4,0.68,0.8,0.79,0.31,52,4,0
0.47,0.83,0.5,0.74,0.26,1.68,19,4,0
0.77,0.41,0.16,0.94,0.52,1.38,84,3,0
0.42,0.55,0.81,0.59,0.47,2.64,60,4,1
0.74,0.66,0.45,0.37,0.98,1.94,20,1,0
0.53,0.46,0.69,0.85,0.33,2.68,21,3,0
0.73,0.3,0.46,0.38,0.31,1.01,56,1,1
0.26,0.83,0.41,0.46,0.42,1.6,19,3,1
0.85,0.6,0.63,0.78,0.55,2.12,10,1,0
0.76,0.26,0.25,0.47,0.52,2.93,61,2,1
0.95,0.59,0.88,0.47,0.86,0.69,88,6,0
0.39,0.46,0.1,0.87,0.45,0.63,45,4,1
0.66,0.49,0.6,0.21,0.82,2.65,58,5,1
0.35,0.56,0.61,0.64,0.76,2.21,58,5,0
0.39,0.8,0.68,0.97,0.46,2.99,38,3,1
0.97,0.45,0.49,0.31,0.29,1.72,32,5,0
0.35,0.59,0.62,0.32,0.53,1.76,22,4,1
0.31,0.36,0.69,0.23,0.6,0.92,79,5,0
0.94,0.91,0.57,0.46,0.58,1.81,34,6,0
0.65,0.58,0.39,0.45,0.52,2.43,10,6,1
0.99,0.48,0.01,0.79,0.39,1.42,12,5,0
0.32,0.9,0.28,0.66,0.96,1.53,30,3,0
0.5,0.58,0.42,0.27,0.73,0.73,71,0,0
0.7,0.72,0.89,0.61,0.91,1.15,84,3,0
0.75,0.45,0.25,0.8,0.26,1.8,7,1,1
0.57,0.36,0.34,0.66,0.26,1.99,3,6,1
0.73,0.68,0.83,0.7,0.27,2.74,77,4,0
0.46,0.57,0.85,0.85,0.6,1.35,48,1,1
0.22,0.53,0.39,0.24,0.25,2.56,5,6,0
0.21,0.73,0.33,0.74,0.23,2.85,17,4,1
1.0,0.42,0.03,0.43,0.47,1.81,71,2,0
0.61,0.78,0.6,0.5,0.73,1.84,40,6,1
1.0,0.81,0.18,0.31,0.46,2.49,23,6,0
1.0,0.79,0.22,0.61,0.24,1.92,39,0,1
0.67,0.58,0.75,0.76,0.73,0.33,68,0,0
0.3,0.95,0.78,0.53,0.99,2.68,34,3,1
0.63,0.3,0.56,0.93,0.46,1.81,11,5,1
0.42,0.39,0.58,0.51,0.89,1.41,23,2,1
0.75,0.94,0.71,0.79,0.37,0.89,89,6,1
0.85,0.38,0.19,0.59,0.33,1.21,26,3,1
0.92,0.91,0.27,0.98,0.68,2.05,86,2,1
0.33,0.57,0.19,0.37,0.57,0.99,10,3,0
0.21,0.24,0.81,0.96,0.5,0.84,18,4,0
0.92,0.8,0.69,0.92,0.46,0.46,8,6,0
0.7,0.62,0.87,0.95,0.26,2.06,79,1,0
0.73,0.61,0.4,0.4,0.32,2.98,48,2,1
0.97,0.96,0.59,0.81,0.74,0.69,5,6,0
0.77,0.89,0.63,0.47,0.76,2.56,42,5,0
0.38,0.47,0.03,0.25,0.75,2.2,27,2,0
0.71,0.84,0.8,0.34,0.34,0.37,73,5,0
0.38,0.94,0.44,0.49,1.0,0.36,5,4,1
0.56,0.44,0.01,0.7,0.8,1.98,52,2,0
0.26,0.48,0.59,0.87,0.97,0.94,57,4,1
0.84,0.55,0.76,0.93,0.45,1.78,38,2,0
0.25,0.26,0.27,0.9,0.67,2.42,31,5,0
0.83,0.45,0.26,0.45,0.78,2.31,46,3,0
0.92,0.23,0.5,0.52,0.72,2.88,49,3,1
0.63,0.22,0.59,0.77,0.67,1.15,46,1,0
0.54,0.31,0.32,0.25,0.87,1.53,88,6,1
0.7,0.83,0.27,0.47,0.9,0.49,14,4,0
0.84,0.48,0.44,0.25,0.86,1.0,40,3,1
0.97,0.7,0.71,0.3,0.89,2.38,53,4,1
0.86,0.5,0.32,0.59,0.86,0.9,53,5,0
0.4,0.32,0.83,0.3,0.35,2.87,7,0,1
0.91,0.88,0.71,0.46,0.85,0.58,76,4,0
0.75,0.73,0.46,0.98,0.34,2.07,22,4,0
0.32,0.51,0.03,0.72,0.48,1.02,46,0,0
0.32,0.99,0.81,0.8,0.61,1.81,51,1,0
0.85,0.98,0.12,0.95,0.26,1.69,58,4,0
0.73,0.69,0.25,0.59,0.59,2.98,16,2,0
0.25,0.75,0.32,0.77,0.81,0.4,53,2,0
0.53,0.43,0.67,0.49,0.57,1.2,59,1,0
0.21,0.45,0.77,0.34,0.9,2.04,40,1,0
0.63,0.53,0.41,0.35,0.92,2.57,79,1,0
0.35,0.71,0.83,0.6,0.64,2.78,80,3,1
0.77,0.43,0.35,0.81,0.36,1.28,8,2,1
0.7,0.79,0.58,0.58,0.37,2.89,58,2,0
0.63,0.39,0.34,0.72,0.22,0.44,32,3,1
0.37,0.54,0.82,0.36,0.58,1.7,70,1,0
0.69,0.62,0.02,0.46,0.32,2.31,13,5,0
0.9,0.99,0.63,0.35,0.48,1.42,36,2,0
0.36,0.47,0.75,0.51,0.35,2.98,41,4,0
0.39,0.96,0.85,0.72,0.25,2.44,71,4,1
0.82,0.39,0.78,0.42,0.97,0.47,14,6,0
0.96,0.61,0.27,0.91,0.26,1.26,40,4,1
0.96,0.64,0.13,0.85,0.2,1.12,7,1,1
0.34,0.37,0.15,0.75,0.47,2.35,79,5,1
0.23,0.72,0.58,0.57,0.27,2.34,81,1,1
0.73,0.51,0.84,0.35,0.85,2.59,10,5,0
0.58,0.53,0.27,0.95,0.98,2.76,19,4,0
0.66,0.39,0.85,0.39,0.24,0.38,58,6,0
0.83,0.49,0.8,0.69,1.0,0.72,46,4,1
0.56,0.28,0.72,0.54,0.46,2.3,70,2,0
0.2,0.27,0.42,0.56,0.83,2.28,27,0,1
0.42,0.94,0.82,0.96,0.85,2.27,19,6,0
0.32,0.42,0.15,0.78,0.75,0.79,6,4,0
0.86,0.57,0.07,0.75,0.21,0.81,35,4,0
0.27,0.52,0.43,0.44,0.5,2.94,47,2,0
0.79,0.97,0.02,0.44,0.96,1.52,10,4,0
0.38,0.57,0.72,0.42,0.21,2.36,61,2,0
0.54,0.97,0.6,0.42,0.35,2.44,6,6,1
0.59,0.43,0.72,0.83,0.36,1.19,74,1,1
0.39,0.46,0.32,0.65,0.31,2.16,48,2,0
0.97,0.57,0.37,0.32,0.2,2.21,10,0,0
0.6,0.91,0.63,0.64,0.48,0.93,86,6,0
0.94,0.64,0.6,0.99,0.89,2.56,11,4,0
0.78,0.81,0.65,0.62,0.44,2.05,36,1,0
0.54,0.48,0.51,0.3,0.35,0.95,38,2,0
0.74,0.25,0.15,0.2,0.27,0.89,74,6,0
0.33,0.75,0.15,0.7,0.25,2.69,11,5,0
0.74,0.22,0.8,0.99,0.8,0.55,42,6,1
0.8,0.51,0.05,0.58,0.62,2.98,19,1,0
0.41,0.98,0.59,0.53,1.0,0.49,73,2,0
0.57,0.86,0.83,0.23,0.52,2.57,76,5,0
0.39,0.66,0.81,0.51,0.45,1.14,9,2,1
0.31,0.87,0.37,0.88,0.75,2.82,45,2,0
0.64,0.71,0.51,0.38,0.39,1.64,0,3,0
0.56,0.39,0.21,0.38,0.83,2.5,8,5,0
0.33,0.97,0.21,0.83,0.55,0.41,77,4,1
0.36,0.35,0.84,0.95,0.62,0.74,3,0,1
0.25,0.39,0.67,0.54,0.84,0.91,13,0,0
0.4,0.93,0.6,0.35,0.83,1.09,80,2,0
0.89,0.33,0.64,0.69,0.47,1.76,34,4,1
0.82,0.75,0.14,0.71,0.55,1.76,66,0,0
0.88,0.3,0.37,0.36,0.91,1.1,80,5,0
0.75,0.45,0.39,0.85,0.94,0.61,9,4,0
0.25,0.87,0.1,0.72,0.88,1.33,63,0,0
0.66,0.47,0.88,0.65,0.53,2.83,12,2,1
0.74,0.39,0.04,0.64,0.88,0.56,32,3,0
0.55,0.29,0.77,0.29,0.65,0.55,5,0,0
0.87,0.94,0.61,0.26,0.27,2.14,27,5,1
0.5,0.52,0.17,0.51,0.69,0.56,63,2,0
0.56,0.72,0.72,0.56,0.25,1.61,4,5,1
0.96,0.91,0.42,0.38,0.81,1.27,18,1,0
0.25,0.73,0.52,0.77,0.77,0.67,43,5,1
0.44,0.53,0.11,0.43,0.64,2.75,21,2,1
0.44,0.38,0.74,0.31,0.38,0.32,43,0,1
0.57,0.21,0.1,0.71,0.34,2.5,15,3,1
0.21,0.61,0.69,0.79,0.54,0.99,26,1,1
0.53,0.24,0.61,0.98,0.49,1.95,0,2,0
0.75,0.94,0.38,0.91,0.5,2.44,62,1,0
0.63,0.48,0.72,0.6,0.49,0.82,75,5,1
0.37,0.76,0.76,0.92,0.46,0.94,74,5,1
0.21,0.82,0.45,0.94,0.47,2.99,90,5,1
0.64,0.76,0.53,0.92,0.5,2.64,25,0,0
0.73,0.37,0.08,0.57,0.33,1.66,53,4,0
0.76,0.79,0.88,0.53,0.94,1.07,64,3,1
0.29,0.63,0.56,0.57,0.45,0.55,77,3,0
0.79,0.25,0.23,0.88,0.54,1.74,65,2,0
0.69,0.36,0.3,0.51,0.4,1.77,9,4,0
0.99,0.81,0.14,0.41,0.76,2.21,51,4,0
0.28,0.67,0.45,0.62,0.21,0.39,9,2,1
0.38,0.34,0.46,0.85,0.82,0.35,9,6,0
0.52,0.72,0.56,0.6,0.21,1.69,23,3,0
0.84,0.76,0.44,0.29,0.8,0.39,74,4,1
0.5,0.44,0.13,0.26,0.63,2.96,67,0,0
0.82,0.87,0.04,0.54,0.52,0.61,45,0,1
0.98,0.61,0.46,0.53,0.69,2.72,44,1,1
0.58,0.61,0.83,0.98,0.25,2.87,14,0,1
0.7,0.38,0.17,0.8,0.65,2.48,6,1,0
0.65,0.24,0.36,0.52,0.32,1.5,43,0,0
0.71,0.79,0.19,0.36,0.27,2.96,17,3,0
0.77,0.93,0.04,0.91,0.25,2.05,42,3,0
0.69,0.81,0.06,0.87,0.8,1.65,67,1,0
0.75,0.62,0.34,0.38,0.32,2.52,70,1,1
0.5,0.81,0.12,0.42,0.76,2.08,0,2,0
0.59,0.24,0.52,0.79,0.78,2.9,35,4,1
0.71,0.2,0.85,0.89,0.55,2.69,49,5,1
0.62,0.73,0.73,0.9,0.96,0.6,49,1,0
0.34,0.49,0.62,0.76,0.53,2.24,41,6,1
0.26,0.49,0.11,0.9,0.98,1.92,61,0,0
0.46,0.41,0.7,0.56,0.49,1.84,51,5,1
0.55,0.23,0.46,0.52,0.96,1.47,1,6,1
0.86,0.54,0.57,0.25,0.29,0.46,61,0,0
0.6,0.82,0.2,0.69,0.6,0.72,32,4,0
0.85,0.98,0.33,0.45,0.23,1.01,9,5,0
0.66,0.95,0.32,0.47,0.64,1.21,54,1,0
0.86,0.27,0.24,0.3,0.94,1.4,9,6,0
0.46,0.66,0.68,0.57,0.24,0.55,68,5,1
0.63,0.32,0.74,0.38,0.69,0.76,43,2,1
0.86,0.22,0.48,0.24,0.25,0.95,14,5,0
0.44,0.9,0.64,0.23,0.98,1.01,39,2,0
0.23,0.31,0.87,0.27,0.36,0.88,31,0,1
0.93,0.99,0.2,0.58,0.68,0.51,80,4,0
0.99,0.4,0.53,0.43,0.96,2.61,13,3,1
0.48,0.48,0.43,0.93,0.99,0.4,63,5,0
0.91,0.57,0.17,0.78,0.26,1.09,78,5,0
0.46,0.93,0.03,0.86,0.83,0.95,7,3,1
0.7,0.34,0.41,0.21,0.39,2.43,16,3,1
0.6,0.56,0.61,0.62,0.77,2.57,42,4,1
0.77,0.65,0.12,0.29,0.37,1.22,59,5,0
0.7,0.58,0.7,0.99,0.77,1.74,30,4,0
0.57,0.81,0.66,0.36,0.59,0.93,1,1,1
0.51,0.76,0.01,0.41,0.66,1.61,16,6,1
0.71,0.46,0.69,0.79,0.88,1.32,4,2,0
0.96,0.36,0.51,0.32,0.23,0.35,52,2,0
0.42,0.43,0.49,0.88,0.64,0.67,72,4,0
0.61,0.27,0.59,0.97,0.83,2.02,17,3,1
0.43,0.66,0.74,0.34,0.34,0.7,84,4,1
0.94,0.95,0.55,0.26,0.24,1.96,21,2,1
0.89,0.94,0.01,0.62,0.63,1.68,35,2,0
0.4,0.51,0.06,0.89,0.45,1.56,59,2,1
0.4,0.46,0.43,0.57,0.46,1.01,39,6,0
0.5,0.75,0.11,0.21,0.83,0.78,8,3,0
0.92,0.9,0.22,0.37,0.76,2.44,69,2,0
0.22,0.43,0.73,0.46,0.73,1.75,57,3,1
0.66,0.66,0.05,0.74,0.93,1.04,43,1,0
0.72,0.71,0.47,0.67,0.62,2.09,86,4,0
0.88,0.83,0.12,0.43,0.6,1.53,70,4,0
0.65,0.24,0.07,0.25,0.71,0.6,45,1,1
0.43,0.59,0.87,0.31,0.25,2.0,9,0,1
0.75,0.38,0.34,0.22,0.82,1.37,64,4,0
0.62,0.29,0.59,0.41,0.8,1.31,90,4,0
0.8,0.89,0.25,0.23,0.79,0.88,24,2,0
0.79,0.31,0.65,0.98,0.55,2.23,54,0,0
0.89,0.98,0.81,0.71,0.56,1.6,78,6,1
0.54,0.46,0.18,0.71,0.78,2.11,34,0,1
0.89,0.48,0.64,0.68,0.55,2.23,34,4,1
0.62,0.43,0.25,0.43,0.74,0.96,19,3,0
0.78,0.6,0.59,0.26,0.44,2.51,72,3,0
0.96,0.28,0.56,0.42,0.77,2.05,25,0,1
0.45,0.6,0.29,0.62,0.25,2.23,76,3,0
0.74,0.23,0.46,0.51,0.82,0.54,77,6,0
0.73,0.99,0.25,0.94,0.75,1.47,48,0,0
0.9,0.7,0.58,0.89,0.38,1.06,16,5,0
0.43,0.87,0.84,0.86,0.58,0.97,41,2,0
0.89,0.76,0.75,0.84,0.9,0.33,61,3,0
0.61,0.5,0.25,0.73,0.73,2.88,42,1,0
0.26,0.29,0.8,0.64,0.46,1.76,35,1,1
0.62,0.62,0.75,0.62,0.46,1.42,29,2,1
0.28,0.62,0.58,0.71,0.87,1.82,71,1,0
0.61,0.95,0.51,0.41,0.26,2.11,39,6,1
0.37,0.46,0.65,0.39,0.93,1.0,70,1,0
0.41,0.78,0.81,0.79,0.28,0.94,35,5,0
0.88,0.73,0.55,0.22,0.31,1.65,32,0,0
0.65,0.45,0.36,0.72,0.47,0.57,62,5,1
0.82,0.64,0.81,0.79,0.56,1.65,39,3,0
0.47,0.7,0.77,0.23,0.71,1.09,74,2,1
0.31,0.34,0.89,0.63,0.42,2.02,52,3,1
0.39,0.68,0.61,0.67,0.43,1.22,90,5,1
0.42,0.34,0.81,0.6,0.7,2.11,64,2,1
0.21,0.25,0.17,0.53,0.77,2.07,35,6,1
0.44,0.91,0.3,0.25,0.94,0.43,42,0,1
0.49,0.93,0.81,0.84,0.97,1.82,55,3,0
0.57,0.71,0.03,0.61,0.96,1.02,4,6,1
0.62,0.48,0.47,0.2,0.33,2.76,46,0,0
0.54,0.77,0.78,0.32,0.88,2.05,51,6,0
0.57,0.45,0.34,0.75,0.79,2.96,84,6,0
0.93,0.77,0.83,0.39,0.57,2.76,39,5,0
0.46,0.81,0.6,0.44,0.83,0.38,38,3,1
0.47,0.87,0.31,0.51,0.95,1.11,16,5,0
0.54,0.44,0.54,0.83,0.72,2.72,20,4,0
0.51,0.75,0.3,0.52,0.37,1.57,62,1,1
0.83,0.33,0.45,0.27,0.42,2.63,14,2,1
0.49,0.54,0.26,0.77,0.35,2.39,42,6,0
0.82,0.7,0.75,0.42,0.3,0.89,61,2,0
0.89,0.79,0.05,0.47,0.4,2.31,9,1,0
0.3,0.82,0.47,0.81,0.9,2.7,24,3,0
0.44,0.5,0.16,0.51,0.59,1.8,21,4,0
0.95,0.29,0.3,0.36,0.65,2.78,89,1,1
0.21,0.44,0.46,0.84,0.82,1.77,88,5,1
0.91,0.34,0.71,0.73,0.92,1.3,86,6,0
0.8,0.6,0.53,0.89,0.93,1.6,11,5,0
0.42,0.66,0.84,0.96,0.93,1.08,89,3,0
0.23,0.89,0.38,0.75,0.3,1.57,41,2,0
0.66,0.51,0.21,0.96,0.74,0.98,7,3,0
0.73,0.79,0.14,0.5,0.92,1.07,15,5,1
0.9,0.66,0.76,0.49,0.7,2.48,57,2,0
0.95,0.89,0.57,0.95,0.96,2.92,85,1,0
0.32,0.27,0.4,0.27,0.38,1.5,81,1,0
0.93,0.61,0.73,0.85,0.55,1.32,81,4,1
