contribution_consistency,repayment_punctuality,default_history,attendance_score,savings_stability,loan_to_savings_ratio,average_overdue_days,current_unpaid_loans,defaulted
75,99,0,34,63,2.31,11,4,0
88,45,0,83,56,4.04,6,4,1
89,63,0,52,90,1.3,89,2,0
53,58,1,92,75,3.99,80,3,0
55,93,0,74,40,3.67,48,3,1
57,63,1,94,45,1.37,13,3,0
87,97,0,52,46,1.55,51,1,0
33,94,0,43,77,0.71,52,3,0
89,74,0,63,81,1.04,75,0,0
78,89,0,56,75,4.45,3,1,0
86,52,0,69,83,1.2,35,2,0
34,34,1,82,75,2.02,90,2,1
99,51,1,50,42,1.15,55,3,1
86,92,0,61,48,4.61,23,5,0
90,51,0,73,36,3.51,27,4,1
39,73,1,91,84,3.39,70,3,1
96,74,1,83,60,1.36,73,0,0
63,81,0,73,53,3.23,40,1,0
99,44,0,78,93,4.04,51,1,0
39,33,0,42,87,0.95,85,1,1
58,54,1,97,89,2.33,6,1,0
96,72,0,97,94,0.65,75,0,0
40,60,1,30,63,1.69,53,5,1
33,98,0,83,81,0.78,34,5,0
78,94,0,96,50,4.54,61,2,0
33,32,0,62,68,1.61,43,0,1
53,89,1,50,47,4.13,57,0,0
85,42,1,60,41,3.14,16,0,0
64,82,1,80,62,2.0,81,0,0
67,86,0,43,65,4.79,36,3,1
79,30,0,95,96,1.39,34,2,0
55,50,0,51,51,2.49,87,2,0
47,85,0,49,94,4.11,81,3,0
88,85,0,53,97,0.75,6,5,0
96,50,0,92,48,3.48,21,0,0
75,98,0,35,43,1.15,83,2,0
40,90,0,42,52,4.42,3,5,1
38,56,0,54,100,3.42,32,4,0
55,98,1,35,84,2.43,88,2,1
97,68,0,94,42,1.6,48,1,0
95,100,1,77,73,4.92,51,1,0
37,66,0,89,47,2.06,41,1,0
100,100,0,69,76,2.27,57,3,0
69,65,1,56,35,1.54,79,0,0
68,85,1,48,57,2.16,53,5,1
35,48,0,93,91,2.02,17,4,1
39,53,0,91,86,3.82,82,1,1
70,49,0,45,63,2.48,62,0,1
98,35,0,81,37,4.69,21,4,1
51,86,1,83,60,4.56,86,1,1
80,62,0,59,85,3.02,5,4,0
66,43,0,52,66,3.68,13,4,0
74,31,1,32,36,2.77,59,2,1
91,64,1,68,36,2.33,71,5,1
44,35,0,72,65,2.78,19,3,1
53,51,0,88,89,3.67,81,4,1
92,57,0,34,55,4.28,10,3,0
58,50,1,62,62,4.56,82,0,1
54,58,0,65,65,0.92,9,3,0
45,38,0,50,84,4.48,33,2,0
79,60,0,69,42,1.42,44,5,1
34,79,0,71,56,2.16,57,1,0
51,49,0,92,67,0.54,77,1,0
62,73,1,99,32,1.44,57,1,1
69,34,1,93,39,1.17,84,1,1
31,91,0,55,31,4.45,0,4,1
65,52,0,68,52,4.57,4,0,0
88,71,1,69,83,3.47,58,2,0
68,96,0,68,31,4.17,9,3,0
31,40,0,47,54,0.96,79,1,1
82,42,0,35,81,3.24,67,4,1
47,36,0,100,38,3.94,83,1,1
75,63,1,50,45,2.84,57,1,1
52,74,0,35,72,3.41,10,2,0
83,71,0,69,37,4.32,73,3,1
30,83,1,99,77,0.95,73,0,0
65,52,1,70,61,3.98,40,5,1
69,34,1,51,46,2.78,31,2,1
59,92,1,36,77,1.92,35,0,0
49,100,0,80,98,1.0,58,5,0
67,81,0,35,75,1.6,88,1,0
31,41,1,89,48,0.6,38,1,0
35,42,0,99,77,1.93,51,1,1
65,94,0,52,44,2.8,54,5,1
55,33,0,32,91,3.08,46,3,1
100,66,0,45,32,4.74,36,3,1
88,57,0,93,84,4.44,21,5,0
59,80,1,61,30,3.59,25,2,0
51,97,1,61,81,1.36,66,1,0
46,89,1,56,97,1.74,3,2,0
60,53,0,88,58,1.92,7,1,0
85,76,0,57,69,0.56,75,4,0
60,75,1,46,42,4.76,88,3,1
42,40,0,68,62,2.94,17,2,0
46,94,0,76,81,4.85,0,0,0
68,94,0,74,33,2.8,67,0,1
37,100,0,89,66,1.65,16,5,0
67,45,0,55,63,3.82,24,1,1
44,82,0,34,45,0.63,13,5,1
30,92,0,89,39,3.07,11,3,0
32,45,1,50,92,0.85,25,3,1
67,48,0,57,74,4.25,6,2,0
77,34,0,67,95,2.68,42,1,0
92,48,0,97,93,1.44,80,1,0
91,65,1,32,81,2.59,12,3,1
44,64,0,80,69,2.19,1,4,0
91,58,1,55,90,4.74,18,4,1
67,70,0,55,72,2.47,7,1,0
49,98,1,97,73,4.7,34,1,0
88,72,1,62,58,4.19,14,1,0
36,33,0,33,31,1.78,84,5,1
100,47,0,46,72,3.0,65,3,0
81,53,0,50,61,2.78,45,1,0
33,84,0,84,84,2.4,41,4,1
30,98,0,78,31,0.95,0,2,0
67,37,1,30,75,2.48,67,1,1
82,43,1,86,92,2.23,86,1,1
32,76,1,59,99,4.33,80,3,1
44,38,0,38,55,4.08,71,0,0
32,94,0,100,58,3.29,88,1,1
62,91,0,80,84,3.91,84,1,0
85,80,0,57,35,3.34,73,4,0
62,56,1,83,70,2.19,46,3,1
60,74,1,97,99,3.53,63,3,1
33,81,1,65,60,2.16,6,4,1
51,30,0,76,55,3.48,6,3,1
60,45,0,33,84,2.58,34,0,0
89,67,1,59,51,3.09,52,1,1
61,41,0,40,59,2.84,45,1,0
100,89,0,55,77,4.02,57,0,0
37,87,0,81,74,4.71,14,2,0
91,62,0,30,90,0.73,86,4,1
57,91,0,72,33,4.57,7,5,1
95,89,0,92,53,1.17,32,4,0
46,34,1,92,94,4.09,17,2,1
31,81,0,56,56,2.17,28,0,0
37,40,1,68,55,1.31,86,2,1
67,69,0,62,63,1.92,69,2,0
49,49,0,65,76,2.41,41,5,1
93,79,0,57,51,1.05,25,2,0
50,87,0,92,75,3.01,86,2,0
60,58,0,56,61,4.43,49,0,1
99,64,1,30,57,2.92,48,0,0
44,98,0,46,67,2.83,47,2,0
86,34,0,95,91,2.1,58,1,0
30,34,0,57,70,2.01,50,0,0
58,98,0,77,44,4.7,15,2,0
95,45,1,44,32,3.32,17,4,1
51,90,0,72,92,2.38,59,5,0
90,81,0,75,64,3.25,79,2,1
58,41,1,89,53,4.26,77,4,1
38,80,1,64,89,1.41,36,1,0
70,74,0,44,87,1.04,9,2,0
50,36,1,75,49,1.8,31,0,0
84,70,1,77,59,2.59,12,2,1
69,55,0,64,37,0.53,45,2,0
55,82,1,81,95,1.49,44,1,1
77,79,0,57,34,3.02,14,1,0
32,97,0,92,49,4.9,13,3,1
62,83,1,51,84,0.6,1,0,0
71,61,1,68,79,1.02,52,0,0
72,80,0,45,51,4.55,25,3,0
99,39,1,100,44,0.63,32,3,0
33,91,0,91,63,2.0,34,3,0
93,95,0,54,31,2.57,26,3,0
99,47,0,56,44,2.74,58,0,0
80,67,0,80,43,1.45,84,3,0
96,86,0,50,81,4.42,37,5,0
47,31,0,32,32,2.69,75,4,1
49,80,1,100,76,1.25,55,3,0
59,70,0,98,38,3.01,61,0,0
81,36,0,46,53,0.92,14,4,0
52,45,1,84,35,4.17,20,5,1
76,70,0,80,34,3.23,67,2,1
32,42,0,94,97,4.28,33,3,1
79,68,0,85,84,0.72,2,2,0
38,43,1,43,34,3.21,49,4,1
48,51,0,82,41,4.89,5,4,0
65,36,0,71,37,4.39,12,1,1
69,98,0,59,71,3.61,57,1,1
56,92,1,88,62,0.77,38,4,1
50,95,0,85,45,1.88,30,0,0
42,80,1,56,65,3.06,38,1,0
56,49,0,47,36,1.28,64,3,1
91,72,0,70,85,3.74,21,1,0
69,64,1,62,85,4.48,62,4,1
82,33,1,33,54,2.76,48,4,1
69,70,0,43,70,1.54,55,1,0
38,57,0,99,53,1.92,72,3,1
56,48,1,55,89,3.17,63,2,1
32,66,0,32,56,1.09,23,3,1
85,58,0,40,34,3.66,61,3,1
82,68,0,40,88,0.57,61,4,1
33,99,0,84,85,4.14,62,2,0
69,51,0,37,33,3.46,83,2,0
81,51,1,73,61,4.61,1,4,0
85,49,1,31,53,3.83,18,4,1
94,45,0,42,77,2.52,26,2,0
100,93,1,53,30,4.02,9,1,1
59,66,0,89,47,1.63,35,0,0
54,48,0,84,83,1.79,35,5,0
68,49,0,67,98,2.14,73,5,1
54,90,0,40,51,3.2,10,3,1
62,40,1,93,71,3.31,55,0,1
92,66,0,43,91,1.7,3,2,0
83,33,0,62,70,1.59,1,5,0
80,99,0,55,35,4.32,69,3,1
81,31,0,35,52,1.85,56,4,1
81,97,0,62,47,1.07,9,4,0
85,52,0,66,44,4.46,1,4,1
30,46,0,66,42,3.76,3,4,1
60,65,0,61,80,3.39,66,0,0
50,30,0,73,51,2.12,63,4,1
53,49,0,38,99,0.99,5,3,0
48,75,0,96,30,0.89,58,0,0
90,73,0,41,53,3.31,2,3,0
89,92,1,31,47,1.33,32,4,1
54,82,0,41,53,2.75,67,0,0
49,52,0,46,86,3.31,75,2,1
55,68,0,74,98,1.95,24,5,0
36,40,0,97,94,4.15,26,1,1
96,30,0,40,59,4.25,85,0,1
85,82,0,81,30,1.1,43,0,0
40,45,0,66,36,0.65,68,1,0
46,30,1,32,62,0.58,37,5,1
76,46,0,80,33,2.23,22,3,0
73,86,0,51,52,4.82,29,0,0
93,38,1,81,86,4.35,83,0,0
59,44,1,35,85,4.34,66,5,1
72,84,0,49,62,4.09,26,2,0
45,100,0,76,48,3.48,52,5,1
33,93,1,48,73,2.88,82,3,1
79,47,0,51,45,1.4,6,5,0
63,80,0,40,34,2.9,67,3,1
64,96,0,74,55,3.39,72,4,0
93,51,0,92,94,4.08,60,1,0
42,91,0,34,71,1.28,61,1,0
56,99,0,60,41,4.37,81,3,1
70,82,0,41,80,1.8,77,2,0
71,31,0,63,42,3.8,17,4,1
58,79,0,76,64,1.64,11,1,0
45,71,1,79,87,0.55,69,1,0
82,31,1,75,90,1.0,31,1,0
75,54,0,44,79,4.44,36,0,0
98,39,0,68,82,2.16,45,3,0
66,39,0,71,93,3.75,11,5,1
89,66,1,36,44,4.61,80,0,1
44,87,0,68,62,1.68,62,3,0
50,90,0,82,33,3.18,40,1,0
63,75,0,41,81,2.79,39,0,0
38,61,0,94,47,1.06,54,1,0
55,46,0,41,86,4.07,74,4,1
47,58,0,33,81,0.79,87,1,1
30,61,1,92,95,4.83,65,0,1
52,51,0,48,95,3.59,9,5,1
62,67,0,64,93,3.53,16,4,1
76,64,1,94,45,3.05,19,3,0
50,91,1,66,46,3.56,12,3,1
90,72,0,41,91,4.14,64,1,0
56,65,0,30,51,0.95,81,2,1
92,50,0,73,61,1.64,0,3,0
81,54,0,84,62,3.11,0,0,0
93,43,1,82,46,3.55,16,1,0
43,72,0,45,42,2.26,90,3,0
76,86,1,76,53,3.92,32,3,0
36,56,0,88,54,2.91,3,2,0
57,67,1,46,81,0.99,12,5,1
32,49,0,50,65,4.07,72,3,1
51,49,0,77,42,1.19,40,3,0
92,32,1,31,40,2.74,56,2,1
58,95,0,100,64,4.86,82,4,1
49,35,0,89,71,1.86,24,4,0
96,50,0,48,65,1.58,77,2,1
62,42,1,45,81,1.61,80,1,0
77,86,0,61,52,4.87,47,5,1
70,31,1,41,90,2.78,89,1,1
38,77,0,45,30,2.48,34,4,1
77,91,1,92,37,1.64,21,4,0
83,65,0,45,87,1.74,63,5,1
52,96,0,30,32,4.24,36,5,1
94,54,0,95,35,4.99,82,5,1
50,86,0,50,37,4.1,50,5,1
61,34,1,82,39,2.62,87,3,1
55,81,0,44,74,4.81,61,1,1
62,93,0,45,48,4.78,1,3,0
89,61,0,77,70,0.68,36,4,0
38,88,1,66,51,3.62,19,5,1
99,32,0,76,48,4.37,42,3,0
75,66,0,36,62,2.01,78,2,1
36,36,0,100,50,1.5,82,5,1
36,47,0,66,41,4.94,6,2,1
98,87,0,62,86,2.29,89,2,0
62,44,0,64,88,4.26,80,5,1
39,56,1,53,62,1.02,84,3,1
57,70,0,48,67,1.53,57,2,0
76,58,1,55,56,2.55,4,2,0
75,96,0,69,48,1.16,10,4,0
51,47,0,65,39,2.1,90,5,1
50,87,0,38,41,4.16,60,2,0
85,75,0,38,49,3.2,72,3,0
61,36,1,60,91,3.3,58,1,1
61,31,0,87,58,4.84,28,2,1
65,37,0,32,71,3.47,89,5,1
60,30,0,51,86,4.57,31,1,0
99,33,0,87,73,0.51,2,5,0
83,58,0,33,98,2.26,1,1,0
50,76,0,100,36,1.64,46,1,0
64,35,0,66,93,1.99,82,0,1
52,34,0,88,61,1.86,0,0,0
71,63,0,66,41,2.77,10,5,0
53,87,1,52,60,4.43,63,3,1
98,100,1,80,50,2.16,6,0,0
71,47,1,67,88,2.25,14,5,1
59,40,0,49,86,0.91,18,2,0
100,86,0,46,42,4.05,83,0,1
35,30,0,39,90,3.4,43,1,1
81,72,0,55,66,4.26,19,4,0
55,36,0,57,99,2.37,86,2,1
70,35,0,45,83,2.32,46,3,1
97,74,0,42,47,3.72,89,5,1
83,80,0,86,55,4.72,28,1,0
89,71,0,98,59,0.64,59,3,0
84,93,0,98,69,2.8,24,2,0
53,93,0,52,80,0.76,11,2,0
69,67,1,58,73,4.86,71,4,1
93,48,0,96,93,0.92,83,5,0
63,60,0,48,82,3.67,86,0,1
68,55,0,46,39,3.62,39,0,0
30,39,0,51,72,3.95,58,1,1
49,46,1,41,50,4.16,6,3,1
54,91,0,97,41,3.5,23,4,1
35,89,0,57,45,4.95,44,2,1
32,94,1,59,55,4.14,35,5,1
65,73,0,63,95,3.5,43,0,0
99,99,1,34,73,4.29,40,4,1
67,70,0,100,52,3.98,43,4,1
94,33,0,95,94,1.24,54,0,0
67,93,0,51,82,3.91,73,1,0
57,100,0,65,63,0.61,53,2,0
76,99,0,73,75,3.1,30,5,1
76,31,1,49,79,4.44,20,3,1
39,38,0,36,50,3.33,47,4,1
34,100,0,93,90,3.7,84,1,0
42,64,0,35,57,1.15,1,2,0
63,85,0,31,69,0.65,68,4,1
54,94,1,44,99,3.45,67,4,0
52,84,1,95,99,3.2,4,3,0
32,59,0,68,74,1.98,64,3,1
37,86,0,64,63,3.82,23,3,1
75,37,0,66,42,2.43,54,4,1
91,92,0,32,37,4.63,13,5,1
68,95,0,30,100,1.62,67,2,0
80,31,0,51,83,3.88,58,4,1
51,98,0,67,38,3.97,52,1,1
74,66,0,31,74,3.5,76,2,1
52,67,0,81,68,2.06,17,2,0
78,47,0,74,59,4.57,51,2,0
80,77,0,90,87,3.51,78,4,0
57,95,0,96,38,4.67,0,5,1
58,68,0,73,87,4.33,88,4,1
88,35,0,61,75,3.45,40,0,0
99,95,0,95,77,2.21,41,3,0
57,35,1,84,83,2.29,86,5,1
76,36,0,39,52,3.55,27,2,1
33,50,0,43,67,3.98,76,4,1
31,75,0,85,68,3.63,54,0,0
93,55,0,86,60,2.67,0,1,0
58,51,0,99,74,2.85,85,1,0
76,62,0,89,84,3.24,28,5,0
44,76,1,61,100,1.19,40,0,0
67,74,1,91,62,4.69,3,0,0
78,75,0,67,51,2.18,36,5,0
69,93,0,93,49,4.26,48,2,0
45,41,1,70,41,1.92,86,5,1
63,72,1,66,31,1.59,68,2,1
35,42,0,88,75,2.13,22,2,1
82,39,0,95,53,4.69,42,3,1
50,52,0,98,76,3.08,24,2,0
58,69,0,89,44,4.4,33,5,1
31,79,1,34,52,3.94,1,1,0
55,62,0,77,87,2.86,24,2,0
73,41,1,36,99,3.32,2,3,1
47,63,0,66,57,1.02,52,3,0
59,84,1,100,38,4.65,84,0,1
52,74,0,43,73,3.31,76,0,0
77,42,1,55,68,1.33,43,3,0
84,61,0,51,92,1.93,8,0,0
52,51,0,96,77,0.95,34,3,0
69,64,0,64,97,2.93,24,0,0
93,32,0,89,54,3.57,90,1,1
43,33,0,87,78,0.82,82,3,1
31,89,0,79,54,2.6,49,3,1
33,30,0,37,98,0.67,20,1,0
38,60,0,84,40,3.31,24,5,1
45,95,0,94,54,2.82,20,2,0
61,70,0,84,45,3.07,71,3,1
56,45,1,52,49,0.77,57,3,1
44,35,0,75,69,4.9,48,5,1
97,91,0,49,37,2.27,6,2,0
54,41,0,49,83,2.88,68,1,1
44,85,0,47,62,1.85,67,4,1
41,83,1,87,40,3.2,71,0,1
100,84,0,56,33,1.93,20,4,0
53,95,0,88,34,4.88,17,5,1
99,91,0,51,84,2.26,35,5,0
70,50,1,55,94,5.0,9,5,1
89,58,0,38,46,1.33,7,3,0
60,93,0,98,50,3.56,35,5,1
50,82,0,81,58,1.59,50,1,0
89,93,0,34,44,3.15,36,5,0
43,50,0,82,83,4.51,56,4,1
43,95,0,55,79,4.61,11,1,0
53,100,0,68,41,0.82,11,5,0
54,33,1,88,46,4.83,88,1,1
57,69,1,78,89,2.26,12,3,0
47,78,1,55,30,4.46,69,4,1
86,75,0,81,98,1.21,24,2,0
71,62,0,98,62,3.35,61,2,0
96,44,0,91,86,3.09,83,2,0
41,57,0,84,60,4.92,32,3,0
65,44,0,81,77,4.74,1,1,0
98,63,0,85,38,4.78,23,1,0
46,81,1,67,83,3.74,77,3,1
72,40,0,50,99,2.5,36,2,1
69,46,1,66,56,1.1,38,5,1
51,49,0,96,65,4.61,15,4,0
93,100,0,35,73,2.4,43,5,1
39,42,0,81,80,2.03,73,4,1
35,50,1,88,85,2.28,28,4,1
46,85,0,64,51,3.18,60,1,1
92,99,0,55,97,1.71,46,1,0
99,84,0,58,67,1.81,69,1,0
79,91,0,87,94,2.68,5,5,0
97,36,0,40,90,4.72,25,4,0
54,99,1,78,30,3.21,58,0,0
62,69,1,31,51,2.45,64,5,1
30,97,0,57,45,0.99,49,1,1
46,97,0,80,99,0.99,65,5,1
72,66,0,98,60,2.11,9,2,0
87,82,1,48,57,1.87,41,4,1
48,32,0,45,71,4.36,20,3,1
83,42,1,80,68,1.41,62,3,1
30,64,1,56,30,1.78,72,4,1
45,58,0,47,52,3.55,12,3,1
53,75,1,79,60,1.09,58,3,1
93,31,0,41,30,1.03,54,3,0
87,52,0,91,44,2.52,75,4,1
53,36,0,81,49,0.64,11,5,0
87,48,0,67,62,2.63,47,1,0
93,66,0,97,35,2.36,33,4,0
70,41,0,70,73,4.12,2,3,1
62,85,0,100,32,1.44,2,5,1
87,83,0,65,90,2.77,27,1,0
85,74,1,39,63,3.74,70,2,0
44,65,1,40,41,1.38,0,4,1
94,74,0,85,89,3.51,31,5,0
41,54,0,38,65,4.09,43,2,1
64,75,1,84,49,1.13,78,2,1
66,78,0,71,72,0.94,21,1,0
59,96,0,30,77,4.04,13,2,0
40,55,0,55,30,3.75,90,2,1
89,49,0,66,32,3.8,6,4,0
61,58,0,76,46,1.48,32,3,0
31,65,0,87,32,2.51,55,3,1
39,94,0,69,45,1.39,51,3,0
75,49,1,83,56,2.38,34,0,0
51,87,1,93,48,4.44,53,0,0
84,41,0,60,69,4.45,59,1,0
88,92,0,90,72,4.13,20,0,0
59,55,0,69,56,4.38,2,4,1
82,63,1,39,46,4.76,46,3,1
50,60,0,36,73,3.28,20,1,0
49,53,0,54,50,3.37,31,4,0
68,30,1,83,71,3.58,73,1,1
64,56,0,93,57,4.69,71,2,0
58,66,0,44,58,1.08,5,4,0
85,96,0,86,97,4.31,25,0,0
84,48,0,56,70,1.85,44,3,1
82,87,0,95,78,1.82,0,1,0
77,96,1,95,80,0.84,41,5,0
96,50,0,50,36,4.37,81,5,1
84,84,0,92,70,3.71,90,1,1
61,63,0,79,41,0.73,72,5,1
87,41,1,98,46,4.18,56,1,1
98,76,0,34,76,2.51,15,3,0
57,30,1,44,88,2.19,38,1,1
89,55,0,38,83,3.35,26,3,0
42,71,1,72,64,4.92,40,0,0
47,45,0,35,75,2.93,6,0,0
80,96,0,61,72,2.73,60,3,0
79,74,1,82,81,2.22,4,4,1
72,83,0,33,90,1.81,72,5,1
75,73,0,51,82,0.71,42,3,0
53,50,0,54,84,4.96,82,1,1
34,35,0,75,96,4.22,45,3,0
59,38,1,62,63,0.85,9,4,0
72,78,1,64,86,3.63,63,1,0
82,96,0,92,69,0.7,43,2,0
53,53,1,38,62,3.35,84,5,1
43,63,0,40,36,2.87,68,4,1
65,97,0,46,56,3.52,76,0,0
55,37,0,78,34,1.77,68,2,0
42,53,1,36,79,3.65,42,1,1
50,43,0,76,45,2.0,3,3,0
69,55,0,76,60,3.5,23,3,1
72,30,1,74,44,1.77,1,4,0
88,94,1,72,74,1.88,75,0,1
78,64,0,87,100,4.62,16,3,1
76,90,0,47,54,4.06,70,3,1
48,100,0,80,92,3.64,28,2,0
41,80,0,39,57,4.43,6,5,1
65,90,0,31,100,0.76,10,3,0
62,34,0,96,100,1.8,66,0,1
91,93,0,59,57,1.77,21,3,0
70,67,0,65,76,0.69,74,1,0
48,50,0,72,57,4.21,3,5,1
60,47,0,46,32,1.83,7,4,1
79,37,0,39,40,3.95,26,1,0
71,43,0,51,58,1.77,55,4,1
46,95,0,95,86,3.11,81,4,0
97,53,0,34,41,1.0,43,1,0
35,94,0,39,36,4.94,16,5,1
89,82,0,95,66,3.63,26,1,0
48,30,0,85,98,3.08,22,4,1
87,64,1,81,41,3.99,70,0,1
69,81,1,35,88,2.59,68,5,1
74,93,0,60,92,1.7,45,1,0
71,35,1,86,35,3.6,25,2,1
99,98,0,30,52,3.25,80,1,0
53,30,0,41,92,0.95,72,0,0
51,48,0,34,78,2.0,36,1,1
82,39,1,39,85,2.21,78,4,1
53,58,0,86,57,3.27,23,1,0
54,40,0,72,99,4.36,37,5,1
46,49,0,39,59,1.37,8,5,1
64,57,0,97,41,4.28,16,1,0
85,53,1,100,79,1.98,72,1,0
57,57,1,43,92,4.41,86,5,1
95,62,0,48,32,4.26,41,1,0
63,70,0,59,94,0.55,15,1,0
94,98,0,96,35,0.78,34,4,0
32,49,0,37,57,2.41,51,3,1
88,45,0,62,74,2.76,58,0,0
85,53,0,78,95,3.42,28,1,0
51,59,0,46,96,1.11,56,0,0
71,40,0,54,37,2.15,53,2,0
33,40,0,35,44,1.62,13,2,1
41,94,1,92,52,3.43,2,4,0
66,45,1,62,85,1.53,2,3,0
70,98,1,42,33,4.25,70,3,1
87,97,0,51,83,1.84,61,1,0
92,32,0,88,63,1.14,83,5,1
100,36,0,68,41,3.6,69,0,0
34,83,1,66,96,3.36,55,2,1
46,73,0,93,100,4.17,33,2,0
57,63,0,96,95,0.76,21,5,0
