contribution_consistency,repayment_punctuality,default_history,attendance_score,savings_stability,loan_to_savings_ratio,average_overdue_days,current_unpaid_loans,defaulted
67,61,0,56,40,0.54,53,0,0
53,36,0,82,73,4.25,80,2,1
98,82,1,81,93,2.82,73,0,1
99,64,1,92,63,4.75,73,3,1
40,96,1,82,94,2.65,37,3,0
45,26,0,86,84,2.45,80,1,1
88,46,1,81,30,2.53,89,5,1
99,29,1,72,67,2.12,89,2,1
32,53,0,36,38,1.25,3,2,0
49,55,0,71,100,4.29,49,0,0
88,44,1,33,46,2.25,90,4,1
65,25,0,98,81,2.88,60,4,1
48,43,1,34,47,0.59,20,5,1
96,37,0,70,92,0.77,35,4,0
48,25,0,33,62,3.19,45,5,1
49,48,1,31,33,4.46,70,1,1
100,44,0,96,81,2.72,43,2,1
81,74,1,50,38,1.24,63,0,0
62,100,0,99,93,1.02,17,1,0
69,65,0,72,59,4.55,87,3,1
68,43,0,98,37,3.66,12,3,1
30,94,0,38,34,4.85,12,3,1
40,45,0,57,92,0.87,24,5,1
86,47,1,55,30,4.56,4,5,1
79,22,0,32,44,4.31,38,2,1
52,94,0,78,67,4.52,28,3,1
60,57,0,46,71,0.53,56,5,1
71,80,0,92,75,3.84,45,5,1
36,97,1,84,82,2.97,32,4,1
45,70,0,52,55,3.08,87,5,1
89,67,0,63,90,2.61,9,3,0
31,40,0,98,96,3.84,57,1,1
30,73,0,44,83,5.0,24,3,1
77,75,0,76,51,3.7,73,4,1
41,78,0,32,55,3.55,38,3,1
98,91,0,57,89,3.44,15,0,0
66,70,1,32,68,3.63,59,4,1
61,39,1,33,65,2.04,27,2,1
38,78,1,60,50,1.94,75,3,1
48,90,1,74,70,4.03,43,5,1
77,28,1,88,77,0.74,57,1,1
32,20,0,74,55,3.92,31,3,1
49,48,0,66,92,4.16,62,1,1
53,82,0,94,65,2.85,44,0,0
83,91,1,38,53,4.6,52,2,1
62,75,0,46,50,2.63,60,5,1
53,87,0,94,47,1.3,49,4,1
65,54,0,32,44,2.13,26,4,1
67,22,0,55,35,4.58,25,2,1
54,26,0,82,72,4.97,2,0,0
47,46,0,60,60,2.4,89,0,1
95,20,0,55,57,1.25,38,3,1
83,99,0,52,37,1.79,64,0,0
64,90,0,59,58,2.99,34,3,1
90,63,0,39,50,3.07,52,1,0
70,60,0,93,87,3.34,90,2,1
62,94,0,51,89,4.26,45,1,0
97,61,0,44,79,3.7,67,1,0
62,52,0,85,60,1.67,82,1,1
43,69,0,49,76,2.28,21,1,0
50,82,1,76,63,4.28,59,4,1
77,56,0,82,31,3.35,5,0,0
49,78,0,82,96,1.25,51,2,1
37,100,1,30,81,1.96,72,2,1
36,67,0,31,36,4.06,74,5,1
96,24,0,87,48,1.27,85,1,1
46,67,0,48,44,3.61,72,2,1
62,22,1,91,77,3.04,28,3,1
77,66,1,41,43,1.16,42,2,1
88,81,0,55,32,3.6,73,1,0
51,33,0,56,79,1.14,33,2,0
59,82,0,58,83,2.29,30,0,0
67,80,0,44,35,1.89,85,1,1
80,50,0,75,78,3.61,45,4,1
83,36,0,30,52,4.02,3,0,0
37,43,0,89,49,1.26,1,2,0
56,42,0,86,89,4.15,4,4,1
56,69,0,32,74,0.53,45,5,1
50,97,0,47,90,2.89,78,0,1
59,98,0,81,85,2.83,18,5,1
57,98,0,89,31,3.31,37,3,1
93,89,1,63,74,1.58,58,0,0
98,46,0,89,69,0.54,78,4,1
90,34,0,55,53,2.55,71,5,1
77,69,0,48,58,0.82,19,3,0
48,55,0,51,96,4.51,75,5,1
33,27,0,62,97,1.28,67,2,1
64,98,1,67,95,2.41,52,1,0
93,22,0,64,83,2.45,54,5,1
78,81,0,96,82,2.99,38,2,1
46,66,0,39,78,4.02,35,1,1
73,96,1,44,61,2.62,57,1,1
59,80,1,40,90,0.62,14,4,1
75,51,0,53,71,3.97,0,3,0
35,32,0,33,30,0.87,8,3,1
66,20,0,42,92,3.39,22,0,0
53,53,0,86,64,4.12,51,2,1
75,81,0,66,80,1.77,25,4,1
82,98,1,77,100,2.52,59,5,1
89,97,0,100,74,0.56,17,2,0
92,90,0,30,94,4.12,77,5,1
61,50,0,89,43,3.66,57,5,1
62,83,0,41,32,1.54,64,5,1
96,44,0,50,53,2.26,76,0,0
47,57,0,40,94,3.63,78,0,1
54,33,0,73,77,2.11,68,4,1
83,27,0,87,39,1.23,13,0,0
87,73,0,73,42,2.83,77,4,1
96,21,1,63,43,3.76,45,0,1
75,100,0,54,39,1.94,68,3,1
53,97,0,33,69,1.05,74,4,1
61,75,0,93,52,4.23,31,3,1
76,80,0,45,84,1.64,50,3,0
52,41,1,39,92,2.81,68,4,1
95,54,1,95,100,3.61,14,2,0
56,35,0,64,71,1.93,52,1,1
31,69,0,35,95,3.42,70,0,1
46,62,0,48,76,2.57,68,5,1
62,36,1,88,81,3.07,14,0,0
38,99,0,82,47,3.16,29,5,1
72,77,0,37,47,4.21,77,2,1
77,21,0,39,53,3.45,23,1,1
68,23,1,96,52,1.69,87,2,1
71,58,0,67,41,0.77,34,1,0
55,25,0,58,52,0.51,68,4,1
79,100,0,44,50,4.57,11,4,1
54,88,1,52,93,4.74,83,5,1
53,88,0,75,63,0.92,45,3,0
42,39,1,57,31,2.69,68,3,1
89,83,0,55,98,1.18,35,5,1
36,35,0,39,60,4.77,84,4,1
86,70,1,76,97,1.61,47,5,1
65,56,1,33,99,2.76,66,3,1
74,92,0,84,48,1.25,53,5,1
49,88,0,95,42,2.0,88,4,1
94,61,0,96,94,1.7,90,2,1
37,76,0,36,35,2.64,35,0,1
45,85,0,84,100,2.39,51,4,1
43,28,0,60,56,1.99,21,5,1
44,83,0,48,81,0.98,37,4,0
95,41,0,57,77,2.68,61,4,1
61,53,0,57,97,4.33,64,3,1
92,74,0,48,73,3.79,2,5,1
80,48,0,49,46,3.74,87,3,1
54,57,0,42,67,2.15,7,5,1
87,37,0,72,39,3.69,38,3,1
92,90,0,40,83,2.59,17,3,0
91,84,0,77,35,1.18,2,2,0
51,20,0,44,35,2.39,17,4,1
87,23,0,46,81,1.1,79,2,1
87,23,1,83,44,1.02,0,3,0
78,46,0,79,97,0.6,25,2,0
81,62,0,57,86,1.77,51,4,0
71,78,0,33,85,1.99,11,4,1
99,51,1,51,36,3.65,37,3,1
44,52,0,68,80,2.92,84,4,1
83,47,1,63,87,4.36,40,2,1
89,74,0,73,93,1.29,52,1,0
37,79,1,71,55,1.7,12,4,0
82,89,0,69,87,4.73,75,2,1
89,81,0,41,60,2.5,12,2,0
34,99,1,31,95,4.05,17,2,1
97,53,0,57,42,2.71,18,4,0
35,75,0,96,47,2.62,18,1,1
76,32,0,100,42,1.17,69,3,1
84,75,0,39,53,4.33,47,3,1
69,37,1,86,86,0.85,70,4,1
81,73,0,66,58,1.9,70,4,1
45,96,1,93,85,3.53,27,0,0
42,62,1,69,83,2.78,18,5,1
59,58,0,89,34,4.47,79,1,1
48,80,0,77,64,0.68,80,2,0
46,61,1,48,48,3.42,85,5,1
92,100,0,62,84,2.65,82,2,1
48,98,1,73,98,1.19,47,5,1
87,37,0,66,73,3.84,28,3,1
84,42,0,65,67,2.35,47,5,1
91,73,1,50,91,2.89,18,4,0
52,49,0,31,51,4.85,46,1,1
38,77,0,60,69,2.69,88,3,1
41,87,0,59,55,4.21,59,5,1
30,86,1,73,34,3.96,47,1,1
87,90,0,41,83,3.48,19,4,1
30,37,0,80,78,4.54,18,2,1
63,26,0,78,32,1.63,41,0,0
77,59,0,53,67,4.19,76,1,1
30,89,0,53,43,2.2,75,2,1
45,84,0,89,76,4.16,48,1,0
90,87,0,40,43,2.72,14,1,0
93,68,1,42,67,4.36,59,1,1
92,71,0,93,93,4.53,67,4,1
98,48,0,49,73,3.19,78,3,1
51,40,1,100,99,2.78,80,1,1
96,97,0,57,94,4.02,26,4,1
55,28,1,31,54,1.7,74,0,1
45,66,0,72,45,0.57,54,3,1
80,95,0,37,44,2.33,86,4,1
86,61,0,42,32,2.78,14,0,0
58,70,0,64,96,1.84,51,3,1
98,75,0,52,66,2.23,30,4,1
76,70,0,75,84,1.1,89,0,0
91,89,0,44,67,1.75,6,4,1
98,39,0,31,92,1.58,12,0,0
45,46,0,90,30,1.85,53,1,1
77,57,0,93,100,1.85,12,1,0
68,91,0,81,48,3.02,19,3,1
62,84,0,65,81,1.63,9,0,0
52,73,0,96,59,4.73,51,1,1
39,43,0,98,84,2.8,36,3,1
98,66,0,96,43,1.08,51,2,0
63,90,0,76,42,1.76,26,1,0
81,82,0,31,56,3.78,33,1,0
39,76,1,73,38,0.56,61,5,1
48,74,0,93,70,4.72,15,4,1
87,79,0,57,77,2.5,58,2,1
30,81,1,83,41,2.84,20,0,0
98,49,0,96,39,4.95,15,3,1
33,41,0,65,35,2.77,80,2,1
45,94,0,92,63,4.76,78,0,1
53,48,0,54,81,4.62,12,1,0
31,60,0,77,70,4.74,32,5,1
61,61,0,68,35,4.16,53,3,1
53,84,0,76,31,1.83,68,3,1
41,50,0,50,44,2.06,26,2,1
79,49,0,59,46,2.14,51,4,1
64,37,0,60,45,4.91,64,0,1
62,36,0,55,57,2.12,43,5,1
62,57,0,51,39,0.99,29,5,1
90,33,0,50,39,4.0,22,2,1
80,98,0,30,39,2.15,78,4,1
72,75,1,66,57,3.29,82,4,1
41,41,0,75,53,4.66,15,4,1
96,86,0,38,48,3.09,54,3,1
94,75,0,46,97,3.37,17,0,0
62,38,0,76,85,3.39,89,0,1
69,76,0,88,96,3.26,16,2,0
72,63,1,83,71,1.22,74,1,0
73,54,0,41,41,2.55,51,2,1
58,20,1,93,47,0.53,44,0,0
42,71,0,35,52,3.32,55,3,1
41,89,1,82,35,3.09,53,2,1
75,56,0,45,82,1.93,8,1,0
31,84,0,34,71,2.86,16,5,1
64,70,1,75,95,2.72,26,2,0
37,20,0,43,59,1.63,36,4,1
55,40,1,73,38,1.82,21,1,0
63,72,0,92,71,3.93,71,4,1
36,35,0,81,63,3.9,66,3,1
97,80,0,55,69,2.61,37,0,0
87,73,0,82,46,3.73,71,2,1
58,59,0,58,58,2.53,43,2,1
65,45,0,48,79,4.33,90,4,1
50,99,0,76,78,2.0,35,4,1
65,84,0,37,90,4.67,24,0,0
39,93,0,52,75,2.94,41,2,0
53,83,0,64,75,2.91,12,0,0
93,62,0,82,46,3.52,55,4,1
78,36,0,87,95,2.03,78,5,1
65,78,0,34,34,3.76,50,4,1
53,42,1,45,83,1.94,49,1,1
52,26,0,46,45,2.29,76,4,1
91,63,0,61,36,3.54,51,4,1
66,72,0,81,37,2.2,32,5,1
41,90,1,49,67,1.4,24,0,0
84,98,0,95,83,4.42,57,1,0
42,53,0,30,44,4.65,39,1,1
52,65,0,87,79,3.32,86,2,1
59,87,0,73,85,4.15,37,5,1
46,97,1,35,38,4.94,2,3,1
91,97,1,79,37,3.27,15,2,0
42,35,1,49,48,4.59,1,2,1
88,90,0,43,80,2.12,22,2,0
48,38,0,34,86,3.65,29,1,1
78,21,1,70,97,0.75,9,0,0
41,29,0,69,60,4.05,64,4,1
90,69,0,63,32,4.23,21,1,0
48,100,0,74,72,2.31,51,4,1
38,31,0,100,58,3.38,55,4,1
100,89,0,100,39,4.36,32,3,1
57,41,1,56,41,4.48,88,2,1
81,51,0,73,75,0.98,85,3,1
45,20,0,62,59,4.22,79,2,1
98,73,0,62,61,1.73,29,1,0
41,77,0,73,76,3.77,81,4,1
54,89,0,49,92,1.96,23,3,0
81,37,0,65,55,0.75,4,5,1
82,25,0,36,32,1.44,52,1,1
52,64,1,61,52,2.34,54,1,1
45,42,0,96,79,3.84,22,5,1
86,42,1,68,65,0.95,90,2,1
68,45,0,53,42,4.16,75,4,1
82,96,0,99,58,4.99,9,2,1
71,26,0,83,67,4.05,32,2,1
87,98,0,67,34,2.63,79,1,1
68,63,0,61,49,3.06,61,2,1
43,46,0,74,43,0.53,81,0,0
34,45,0,90,37,1.44,26,5,1
64,98,0,99,77,4.55,6,5,1
47,55,0,82,42,0.6,26,4,1
38,74,0,80,53,4.57,73,5,1
87,83,0,85,94,1.01,9,2,0
46,76,0,56,63,1.1,74,2,0
36,88,0,67,80,1.29,56,3,1
75,80,0,91,32,4.1,29,4,1
42,21,0,47,87,2.65,2,4,1
69,74,0,93,84,1.15,28,5,0
71,99,0,59,71,3.59,13,2,0
38,57,1,78,50,4.73,76,0,1
79,99,0,70,39,3.08,82,3,1
56,97,1,42,86,0.94,24,0,0
95,48,0,63,54,0.75,9,2,0
34,45,1,54,85,4.08,78,4,1
58,54,0,95,67,3.32,48,4,1
66,98,1,47,90,4.65,37,0,1
67,86,0,34,76,2.96,70,1,1
37,48,0,48,83,0.78,13,2,0
94,53,0,71,75,2.32,29,4,1
46,60,0,47,97,3.46,39,5,1
100,60,1,61,33,2.23,11,1,1
74,42,0,50,95,5.0,13,4,1
33,90,1,39,72,2.32,0,5,1
65,22,0,66,91,2.96,67,4,1
99,77,0,78,33,1.51,48,1,0
60,51,0,42,94,1.18,17,0,0
48,50,1,84,91,3.4,35,2,1
90,62,0,46,31,3.15,63,1,1
83,26,0,38,38,0.52,27,1,0
68,20,0,73,86,1.78,31,4,1
48,80,0,75,74,3.4,71,5,1
68,33,1,37,47,4.16,24,1,1
96,71,0,66,77,1.91,46,2,0
74,25,0,48,71,3.41,19,0,0
42,29,0,92,70,1.69,32,5,1
87,90,1,75,87,3.61,29,0,0
49,49,0,100,71,3.64,36,0,0
90,40,0,55,64,1.09,79,2,1
68,79,0,75,67,3.49,52,4,1
30,100,0,75,96,2.0,88,5,1
32,93,0,43,70,1.28,73,5,1
91,82,0,92,79,2.75,68,2,0
92,61,1,32,74,2.54,7,5,1
54,70,1,57,100,3.98,0,1,0
85,83,0,58,48,0.88,6,3,0
62,95,0,47,46,4.05,61,3,1
67,75,0,64,94,0.98,86,3,1
35,99,0,76,85,1.43,57,0,0
87,60,0,34,70,2.82,87,5,1
73,51,0,88,71,2.58,77,2,1
74,34,0,88,35,4.95,86,5,1
61,81,0,76,98,3.15,72,2,1
74,46,1,42,69,1.97,7,5,1
90,47,0,62,70,4.55,63,0,0
76,100,0,91,38,1.9,7,1,0
50,83,0,45,37,1.73,2,3,0
65,78,0,73,73,2.72,57,3,0
48,77,0,87,87,4.61,31,5,1
49,21,0,35,96,3.69,67,0,1
86,55,1,44,42,3.55,48,3,1
47,90,1,33,48,3.77,37,5,1
76,32,0,85,78,3.47,1,4,1
78,34,0,93,59,3.92,8,5,1
43,79,1,97,95,1.37,45,2,0
44,41,0,63,88,1.3,64,3,1
60,82,0,85,82,2.13,48,3,0
30,94,0,61,81,4.33,74,4,1
83,93,0,38,60,3.72,28,1,0
32,44,1,92,44,3.05,89,5,1
45,67,0,62,49,0.59,90,1,1
86,62,0,50,34,1.56,28,5,1
41,57,0,84,36,4.12,32,4,1
45,60,0,86,47,1.59,27,1,0
53,64,1,31,85,3.79,82,0,1
57,59,0,42,74,1.33,25,4,1
37,36,0,33,57,3.23,28,5,1
65,76,1,79,79,3.33,10,2,0
37,21,0,77,31,3.88,84,2,1
87,81,0,59,97,2.47,33,2,0
89,28,0,58,53,3.35,85,5,1
79,87,0,37,77,2.69,47,3,1
57,100,0,41,74,4.76,26,4,1
70,36,0,70,87,2.85,71,4,1
93,69,0,55,65,1.44,39,1,0
56,59,1,79,31,3.51,30,4,1
92,77,0,31,47,2.97,64,4,1
46,94,0,84,78,4.12,38,1,0
62,40,0,85,37,1.3,23,4,1
58,37,1,43,87,1.67,67,4,1
42,74,0,35,44,4.65,81,0,1
75,48,1,90,46,4.69,22,5,1
64,43,0,41,52,2.49,60,1,1
35,93,1,42,95,0.71,26,0,0
98,36,0,48,99,1.88,15,3,0
76,37,0,73,56,1.61,44,1,1
54,61,0,88,66,2.37,26,5,1
95,64,1,66,78,1.93,72,4,1
39,36,0,54,93,4.23,4,4,1
85,92,0,45,63,0.51,58,0,0
59,33,0,67,47,3.4,71,0,0
34,68,1,72,93,3.49,81,3,1
62,48,1,43,73,3.47,34,3,1
94,23,0,35,46,2.84,69,5,1
47,39,0,52,88,3.25,86,4,1
78,66,0,89,42,4.15,45,2,1
40,28,1,41,81,4.03,89,3,1
55,96,1,42,89,0.66,55,4,1
92,98,0,35,71,0.64,23,3,0
88,46,0,92,93,4.28,9,1,1
56,34,1,67,95,3.09,78,0,1
78,38,1,79,63,4.81,37,4,1
62,71,0,81,100,2.44,83,3,1
30,45,0,69,93,1.3,69,0,0
50,45,0,37,62,2.63,47,2,1
84,45,0,90,41,2.46,8,3,0
35,65,0,37,48,2.83,49,4,1
98,68,0,63,38,4.14,68,1,1
34,72,0,89,46,3.45,47,0,0
32,22,0,86,79,1.33,38,0,0
82,85,0,75,68,3.81,82,1,0
52,61,0,51,70,3.16,4,4,1
82,38,1,69,39,3.1,83,5,1
66,36,0,74,41,3.55,10,2,1
46,52,0,84,44,3.04,59,5,1
30,95,0,80,57,2.56,26,1,1
80,68,1,34,33,3.38,6,2,0
74,75,1,42,65,3.76,59,4,1
33,82,0,57,94,1.52,49,3,1
91,22,1,91,76,2.74,66,3,1
94,68,0,53,68,2.56,68,5,1
61,74,1,36,67,0.68,54,4,1
63,45,0,67,73,4.25,76,2,1
68,91,0,66,80,2.2,15,5,0
55,71,0,97,55,0.83,11,1,0
63,26,0,71,65,2.56,26,5,1
83,65,0,34,98,1.23,32,4,1
32,65,1,93,30,3.67,78,4,1
79,35,1,79,82,3.07,84,3,1
41,43,0,44,35,1.72,80,1,1
94,80,0,82,66,4.78,54,3,1
83,73,0,54,31,1.81,51,2,0
34,81,0,38,98,3.0,36,2,1
86,20,0,67,70,4.11,14,0,0
46,68,0,51,80,2.81,83,4,1
76,44,0,78,76,4.82,82,1,0
52,29,0,97,42,4.3,64,1,1
43,99,0,44,98,4.64,67,3,1
95,35,0,94,95,2.18,2,5,1
80,77,0,83,88,2.97,71,5,1
67,91,0,59,97,4.28,4,3,1
93,48,1,49,88,4.57,8,5,1
67,25,0,62,39,4.75,0,1,1
79,35,0,36,42,4.46,29,3,1
59,39,0,37,31,3.79,70,5,1
80,99,0,57,44,0.61,85,0,0
92,90,0,74,75,1.92,19,4,1
81,97,0,40,86,1.08,26,0,0
67,62,0,60,39,1.2,88,5,1
59,45,1,41,51,1.81,90,2,1
80,97,0,80,37,0.84,62,1,0
34,90,0,73,50,1.59,74,0,1
58,52,0,79,51,4.81,80,0,1
33,45,1,46,74,1.9,30,3,0
39,64,0,64,69,1.22,81,3,1
85,82,0,30,51,3.73,18,3,0
46,86,0,58,59,4.23,78,5,1
46,71,0,80,91,1.91,61,2,1
98,87,1,93,74,1.75,6,0,0
63,45,0,33,64,1.59,36,4,1
35,94,0,57,71,2.27,70,3,1
82,21,1,45,34,0.89,85,2,1
95,33,0,92,56,3.51,75,5,1
72,49,0,82,99,4.2,7,2,1
52,68,0,46,91,3.49,56,3,1
84,31,0,69,61,2.4,81,1,1
45,63,1,42,37,1.8,27,0,1
37,52,0,81,47,2.34,81,3,1
33,32,0,87,44,2.41,16,4,1
33,97,1,66,55,3.5,86,0,1
85,45,0,90,82,4.68,10,2,1
54,40,0,63,73,0.82,14,4,0
96,47,0,99,61,4.79,29,0,0
96,67,1,46,57,4.6,5,4,1
56,59,1,49,68,1.03,11,2,0
61,85,0,88,61,1.33,86,3,1
79,92,0,98,47,1.9,60,4,1
90,98,1,62,99,3.02,35,3,1
80,96,0,46,40,1.11,34,2,1
48,42,1,86,61,1.4,66,2,1
50,100,0,30,49,4.56,78,4,1
34,67,0,42,69,0.99,76,4,1
71,21,0,56,37,2.29,62,2,1
90,39,0,99,64,3.93,82,4,1
51,78,0,88,98,4.5,39,4,1
50,65,1,35,50,2.01,81,4,1
99,22,0,52,53,1.24,30,5,1
30,74,1,39,46,3.82,36,4,1
34,31,0,80,47,3.98,84,0,1
41,59,1,48,41,4.91,4,2,1
75,85,1,80,45,1.13,80,2,1
63,97,0,97,33,3.69,82,1,1
78,35,0,71,63,2.38,3,3,0
74,53,0,86,75,4.62,25,1,1
56,63,0,97,60,2.34,23,4,1
55,25,0,67,54,2.51,38,4,1
76,96,1,91,53,1.07,55,0,0
85,83,1,36,94,1.94,53,0,1
92,41,0,100,54,2.3,37,0,0
77,37,0,79,57,0.58,53,0,0
90,31,0,81,65,2.47,18,0,0
55,71,0,55,35,2.01,25,0,0
65,70,0,55,95,4.12,51,0,0
30,90,1,48,96,0.98,74,0,0
37,67,0,38,77,3.92,60,5,1
81,38,0,90,99,3.71,66,0,0
76,25,1,49,96,1.59,21,2,0
85,46,0,79,77,0.87,16,0,0
43,72,1,51,94,4.29,10,3,1
57,67,0,42,73,1.62,38,0,0
31,26,0,41,92,1.16,60,5,1
55,78,1,39,75,2.12,90,4,1
43,88,0,94,48,2.3,48,5,1
